,filename,label,probability,index
0,24175506_169512276977734_5210213780121714688_n.jpg,apparel,0.959756434,0
1,24175506_169512276977734_5210213780121714688_n.jpg,shoes,0.91154927,0
3,24175506_169512276977734_5210213780121714688_n.jpg,shoulder,0.797445714,0
10,25036659_1527256927323801_6735676178138398720_n.jpg,color,0.949923515,1
11,25036659_1527256927323801_6735676178138398720_n.jpg,text,0.947645724,1
13,25036659_1527256927323801_6735676178138398720_n.jpg,font,0.884107411,1
20,25037016_253548621851555_3636738028602392576_n.jpg,music artist,0.864889085,2
27,25038595_1618907854862436_2293914648082120704_n.jpg,landmark,0.921739459,3
28,25038595_1618907854862436_2293914648082120704_n.jpg,building,0.910864413,3
29,25038595_1618907854862436_2293914648082120704_n.jpg,night,0.909465253,3
30,25038595_1618907854862436_2293914648082120704_n.jpg,metropolitan area,0.899689913,3
31,25038595_1618907854862436_2293914648082120704_n.jpg,architecture,0.836497307,3
32,25038595_1618907854862436_2293914648082120704_n.jpg,metropolis,0.820672631,3
33,25038595_1618907854862436_2293914648082120704_n.jpg,urban area,0.807701766,3
34,25038595_1618907854862436_2293914648082120704_n.jpg,city,0.800090671,3
37,26065548_150626812383272_1999807438114521088_n.jpg,color,0.950514138,4
38,26065548_150626812383272_1999807438114521088_n.jpg,text,0.931881428,4
40,26065548_150626812383272_1999807438114521088_n.jpg,font,0.8387658,4
41,26065548_150626812383272_1999807438114521088_n.jpg,monochrome,0.752855122,4
47,26071176_367047447092359_4495207179669733376_n.jpg,text,0.932344139,5
48,26071176_367047447092359_4495207179669733376_n.jpg,font,0.904976547,5
49,26071176_367047447092359_4495207179669733376_n.jpg,color,0.835876226,5
61,26156256_209837116230386_9149447098410729472_n.jpg,color,0.956296802,8
63,26156256_209837116230386_9149447098410729472_n.jpg,photograph,0.840170741,8
64,26156256_209837116230386_9149447098410729472_n.jpg,atmosphere,0.82594353,8
66,26156256_209837116230386_9149447098410729472_n.jpg,monochrome,0.779362619,8
71,26156508_1850601364963475_3292394274095628288_n.jpg,apparel,0.952292264,9
72,26156508_1850601364963475_3292394274095628288_n.jpg,shoes,0.951176882,9
73,26156508_1850601364963475_3292394274095628288_n.jpg,child,0.948304653,9
74,26156508_1850601364963475_3292394274095628288_n.jpg,boy,0.885315061,9
76,26156508_1850601364963475_3292394274095628288_n.jpg,male,0.818613946,9
81,26157545_166536237297416_6613292107241095168_n.jpg,text,0.958432436,10
82,26157545_166536237297416_6613292107241095168_n.jpg,color,0.925939977,10
83,26157545_166536237297416_6613292107241095168_n.jpg,font,0.866605043,10
84,26157545_166536237297416_6613292107241095168_n.jpg,sky,0.815531015,10
85,26157545_166536237297416_6613292107241095168_n.jpg,photograph,0.783972263,10
86,26157545_166536237297416_6613292107241095168_n.jpg,night,0.753471732,10
91,26182531_805687959617651_1692723817685712896_n.jpg,shoes,0.991045773,11
94,26182531_805687959617651_1692723817685712896_n.jpg,product,0.805552185,11
95,26182531_805687959617651_1692723817685712896_n.jpg,personal protective equipment,0.760715961,11
99,26183494_2006709782883913_6054144376697782272_n.jpg,text,0.968377352,12
100,26183494_2006709782883913_6054144376697782272_n.jpg,font,0.946219206,12
101,26183494_2006709782883913_6054144376697782272_n.jpg,color,0.892872572,12
109,26185706_1322534207851539_6900034333059317760_n.jpg,shoes,0.9167009,13
110,26185706_1322534207851539_6900034333059317760_n.jpg,child,0.899090052,13
111,26185706_1322534207851539_6900034333059317760_n.jpg,infrastructure,0.892793834,13
112,26185706_1322534207851539_6900034333059317760_n.jpg,road,0.867751956,13
113,26185706_1322534207851539_6900034333059317760_n.jpg,male,0.831795394,13
114,26185706_1322534207851539_6900034333059317760_n.jpg,street,0.812819004,13
115,26185706_1322534207851539_6900034333059317760_n.jpg,boy,0.797092795,13
117,26185706_1322534207851539_6900034333059317760_n.jpg,play,0.761387289,13
119,26185887_151435138779037_8893950510562803712_n.jpg,color,0.950514138,14
120,26185887_151435138779037_8893950510562803712_n.jpg,text,0.931881368,14
122,26185887_151435138779037_8893950510562803712_n.jpg,font,0.83876574,14
123,26185887_151435138779037_8893950510562803712_n.jpg,monochrome,0.752855122,14
135,26187364_161283164514079_5965319131552022528_n.jpg,text,0.93376857,16
136,26187364_161283164514079_5965319131552022528_n.jpg,font,0.850407958,16
137,26187364_161283164514079_5965319131552022528_n.jpg,color,0.847640991,16
138,26187364_161283164514079_5965319131552022528_n.jpg,advertising,0.81169194,16
142,26226685_176500409748444_2049408086975709184_n.jpg,text,0.958432376,17
143,26226685_176500409748444_2049408086975709184_n.jpg,color,0.925940037,17
144,26226685_176500409748444_2049408086975709184_n.jpg,font,0.866605043,17
145,26226685_176500409748444_2049408086975709184_n.jpg,sky,0.815530956,17
146,26226685_176500409748444_2049408086975709184_n.jpg,photograph,0.783972204,17
147,26226685_176500409748444_2049408086975709184_n.jpg,night,0.753471851,17
154,26268515_1841349675937707_4045261548132761600_n.jpg,shoes,0.960768998,19
155,26268515_1841349675937707_4045261548132761600_n.jpg,child,0.948635697,19
156,26268515_1841349675937707_4045261548132761600_n.jpg,day,0.889742315,19
157,26268515_1841349675937707_4045261548132761600_n.jpg,boy,0.842890143,19
159,26268515_1841349675937707_4045261548132761600_n.jpg,standing,0.770906925,19
160,26268515_1841349675937707_4045261548132761600_n.jpg,toddler,0.768971086,19
161,26268515_1841349675937707_4045261548132761600_n.jpg,apparel,0.757941544,19
168,26275971_2002473300012518_8233353165701906432_n.jpg,landmark,0.900900185,21
169,26275971_2002473300012518_8233353165701906432_n.jpg,night,0.842308521,21
170,26275971_2002473300012518_8233353165701906432_n.jpg,structure,0.841377974,21
171,26275971_2002473300012518_8233353165701906432_n.jpg,metropolitan area,0.832850754,21
172,26275971_2002473300012518_8233353165701906432_n.jpg,city,0.76762408,21
173,26275971_2002473300012518_8233353165701906432_n.jpg,lighting,0.758753061,21
178,26275971_346820872485309_6220817776689283072_n.jpg,color,0.928892255,22
179,26275971_346820872485309_6220817776689283072_n.jpg,human hair color,0.907080531,22
180,26275971_346820872485309_6220817776689283072_n.jpg,eyebrow,0.896048546,22
181,26275971_346820872485309_6220817776689283072_n.jpg,hair coloring,0.81168884,22
182,26275971_346820872485309_6220817776689283072_n.jpg,hairstyle,0.810323417,22
183,26275971_346820872485309_6220817776689283072_n.jpg,selfie,0.781098723,22
188,26305219_157949998190178_5159291999320276992_n.jpg,shoes,0.991366029,23
191,26305219_157949998190178_5159291999320276992_n.jpg,personal protective equipment,0.780303478,23
195,26309904_1450709818391894_8080946079404654592_n.jpg,text,0.935721576,24
196,26309904_1450709818391894_8080946079404654592_n.jpg,font,0.903345048,24
197,26309904_1450709818391894_8080946079404654592_n.jpg,color,0.823478401,24
205,26310323_1792319351069209_4712802248793522176_n.jpg,shoes,0.993399978,25
208,26310323_1792319351069209_4712802248793522176_n.jpg,product,0.857213855,25
215,26322901_1996180137127215_4566925574370492416_n.jpg,shoes,0.984884501,26
228,26381731_175343296563313_6634835766277046272_n.jpg,shoes,0.989617288,29
230,26381731_175343296563313_6634835766277046272_n.jpg,color,0.958392143,29
232,26381731_175343296563313_6634835766277046272_n.jpg,cool,0.757385969,29
238,26392388_234828960392771_2138001386707615744_n.jpg,shoes,0.991007507,30
241,26392388_234828960392771_2138001386707615744_n.jpg,personal protective equipment,0.787668407,30
248,26433855_163745387588767_4763160504115920896_n.jpg,shoes,0.989067078,32
249,26433855_163745387588767_4763160504115920896_n.jpg,color,0.964686275,32
252,26433855_163745387588767_4763160504115920896_n.jpg,product,0.845609188,32
258,26434932_1815607058463540_1231334065399922688_n.jpg,shoes,0.991813898,33
265,26863427_339288439884402_4865872533875851264_n.jpg,color,0.9317559,34
266,26863427_339288439884402_4865872533875851264_n.jpg,mammal,0.926167965,34
267,26863427_339288439884402_4865872533875851264_n.jpg,poster,0.866838992,34
268,26863427_339288439884402_4865872533875851264_n.jpg,graphic design,0.839822948,34
269,26863427_339288439884402_4865872533875851264_n.jpg,horse like mammal,0.831948042,34
270,26863427_339288439884402_4865872533875851264_n.jpg,font,0.813819587,34
275,26863581_485355205195085_5342547456292814848_n.jpg,text,0.93101263,35
276,26863581_485355205195085_5342547456292814848_n.jpg,font,0.86205864,35
277,26863581_485355205195085_5342547456292814848_n.jpg,color,0.852375388,35
285,26863616_2003581536631450_745651239353581568_n.jpg,shoes,0.990467131,36
286,26863616_2003581536631450_745651239353581568_n.jpg,color,0.962716639,36
289,26863616_2003581536631450_745651239353581568_n.jpg,product,0.817435384,36
295,26863673_1794342157526651_5341906874805518336_n.jpg,text,0.938139975,37
296,26863673_1794342157526651_5341906874805518336_n.jpg,font,0.878997207,37
297,26863673_1794342157526651_5341906874805518336_n.jpg,color,0.803240418,37
302,26863675_124941461567101_3123555295758909440_n.jpg,shoes,0.990559697,38
304,26863675_124941461567101_3123555295758909440_n.jpg,color,0.954878747,38
307,26863675_124941461567101_3123555295758909440_n.jpg,product,0.797722518,38
312,26863734_181912139083273_5321908819880574976_n.jpg,color,0.957647502,39
314,26863734_181912139083273_5321908819880574976_n.jpg,text,0.901200891,39
315,26863734_181912139083273_5321908819880574976_n.jpg,font,0.835708737,39
324,26864094_1693886790675507_7421779478344368128_n.jpg,text,0.936122894,42
325,26864094_1693886790675507_7421779478344368128_n.jpg,font,0.902986467,42
326,26864094_1693886790675507_7421779478344368128_n.jpg,color,0.834147692,42
334,26864286_214065575826062_4827345886956748800_n.jpg,shoes,0.993243873,43
337,26864286_214065575826062_4827345886956748800_n.jpg,product,0.871319652,43
344,26864584_179244282838026_5595373875857719296_n.jpg,basketball moves,0.975815535,44
345,26864584_179244282838026_5595373875857719296_n.jpg,basketball player,0.971132159,44
346,26864584_179244282838026_5595373875857719296_n.jpg,color,0.96824348,44
347,26864584_179244282838026_5595373875857719296_n.jpg,sport venue,0.922968388,44
348,26864584_179244282838026_5595373875857719296_n.jpg,player,0.91688925,44
349,26864584_179244282838026_5595373875857719296_n.jpg,basketball,0.86542207,44
350,26864584_179244282838026_5595373875857719296_n.jpg,team sport,0.78835088,44
354,26864682_143753682976453_4804810872159469568_n.jpg,color,0.952318072,45
355,26864682_143753682976453_4804810872159469568_n.jpg,shoes,0.948338032,45
